rank,type,poc_id,chunk_id,name,chunk_text,date,score
1,vector,aa2f041628d5afd0809c5629,69bbf7e2cbeba5b167361963,Mastering Kubernetes Autoscaling for AI and Real-Time Traffic,"Mastering Kubernetes Autoscaling for AI and Real-Time Traffic

Autoscaling Kubernetes for real-time traffic, complex workloads, and AI/LLM applications introduces unique performance and scalability challenges. This session focuses on practical methods to scale efficiently for latency-sensitive scenarios and resource-intensive AI-driven tasks. We’ll explore Kubernetes Event-Driven Autoscaling (KEDA) strategies tailored specifically for dynamic real-time traffic, custom metrics for AI workloads, and considerations for managing complex services. Additionally, we’ll address the trade-offs involved, pitfalls to avoid, and illustrate best practices through real-world examples. Join us for an insightful look at building robust autoscaling strategies optimized for real-time responsiveness, AI efficiency, and cost control in Kubernetes.",2026-05-12,0.8448710540651877
2,index,28ac79f6b9210c49fa6d8fa3,69b9e26c0efa2c2180a15bb2,Mastering Kubernetes Autoscaling for AI and Real-Time Traffic,"Mastering Kubernetes Autoscaling for AI and Real-Time Traffic

Autoscaling Kubernetes for real-time traffic, complex workloads, and AI/LLM applications introduces unique performance and scalability challenges. This session focuses on practical methods to scale efficiently for latency-sensitive scenarios and resource-intensive AI-driven tasks. We’ll explore Kubernetes Event-Driven Autoscaling (KEDA) strategies tailored specifically for dynamic real-time traffic, custom metrics for AI workloads, and considerations for managing complex services. Additionally, we’ll address the trade-offs involved, pitfalls to avoid, and illustrate best practices through real-world examples. Join us for an insightful look at building robust autoscaling strategies optimized for real-time responsiveness, AI efficiency, and cost control in Kubernetes.",2025-12-02,142.85281372070312
3,index,28ac79f6b9210c49fa6d8fa3,69b4680575fc73e03aac64e5,Mastering Kubernetes Autoscaling for AI and Real-Time Traffic,"Apologies for that. I'm maintainer of Project Keda, which does Kubernetes autoscaling. I'm with the project since the beginning. I also serve on KNative, a project which does a similar thing, and I'm founder and CTO at a company called Cify where we provide enterprise solutions for companies that would like to autoscale their workloads. I will go through the agenda just briefly. We will talk about why we should care about autoscaling, what are the types of autoscaling we can see. All the sessions will be aimed towards Kubernetes workloads. Then we will discuss different types of autoscaling solutions. We will briefly touch on the project data and some autoscaling challenges that you can face when dealing with this stuff. What we should care about autoscaling. This is like a maybe business slide, but in general the idea is very simple. If we would like to save costs and also improve performance without manual toil, we should think about autoscaling. Autoscaling is important, especially if you are running on some cloud providers, so you are running on AWS, Azure, or GCP, and you would like to utilize your resources properly. The idea is that you should definitely configure autoscaling both on the cluster level, which means cluster autoscaler, and the application level. In this talk, we will touch the application level autoscaling and how it is important for us.",2025-12-02,141.7332763671875
4,index,28ac79f6b9210c49fa6d8fa3,69b4680575fc73e03aac64ec,Mastering Kubernetes Autoscaling for AI and Real-Time Traffic,"This was how we can do it on Kubernetes. I will talk a little bit more about the best practices that I got over the years when helping users and customers running in production on Kubernetes clusters. This might be too technical for those of you who don't know the details, but I believe some of the things might be beneficial for you as well. There is a concept of a fallback in a ScaledObject. It's a very good practice. Imagine that you are scaling out your system and you would like to. What would happen if the external system, for example, the metric source is down, the Kafka server is down? You would like to have some fallback number of replicas of the application. Even if there are some outages, your application is still running. Please always specify the fallback with the ScaledObject. It's very good practice. With the fallback, you specify if there are 5 errors in a row coming from the external system, let's scale to some specific amount of replicas. The second case is more complex, but if you recall, in the ScaledObject we define the triggers, the Kafka or the RabbitMQ. You can define multiple different triggers for the same workload, and the default behavior is that the largest value from those triggers is selected for the target scale. For example, if we have a scaled object that targets 5 Kafka topics, and one topic gives us the number 100 and the rest of them just 5, the number 100 will be selected as the target metric. This is good for a lot of cases, but I believe it would be better if we can use some other approaches, and because we are depending on the HPA for this calculation for commodities, we need to implement the scaling modifier section. It allows you to specify even mathematical formulas or conditional statements between the different metrics coming from the system. In this case, for example, we have two triggers. One of them is cumulative workload and the second one is metric API workload trigger, and we are getting the average from those two. So we are combining the values from those two and dividing them together. It's very powerful; you can combine multiple different sources, different metrics. The general rule on Kubernetes when we are talking about Kubernetes autoscaling is that if there is a metric you can expose, then this metric can be used to drive the scaling itself. This is a very good example of how we can use the scaling modifiers. There is a query there, an actual question from one of the users. They mentioned that they have a requirement to be always overprovisioned by 3 ports, and their single port can process 3 messages at a time. How can we achieve that?",2025-12-02,137.09976196289062
5,index,84a353fbf9bd295e3f0e1d1d,69b9e37d0efa2c2180a198a2,Autoscaling Challenges on Kubernetes,"Autoscaling Challenges on Kubernetes

Autoscaling on Kubernetes can save costs, boost performance, and streamline operations - but only if done right. In this session, we’ll explore the real-world challenges of autoscaling containerized workloads, from unpredictable traffic patterns to complex resource management across multiple services. We’ll dive into how Kubernetes Event-Driven Autoscaling (KEDA) can simplify your scaling logic with custom metrics and various triggers, so you can handle spikes efficiently without overprovisioning. We’ll cover resource-based, event driven, custom metrics based and HTTP-driven scaling, and the often-overlooked scale-to-zero strategy - helping you optimize for both capacity and cost. To bring these concepts to life, we’ll walk through a live demo showing how to set up and monitor diverse scaling scenarios in real time. Get ready to tackle the pitfalls of autoscaling head-on and deploy robust, cost-effective solutions in your own Kubernetes environment.",2025-06-17,144.17372131347656
6,index,84a353fbf9bd295e3f0e1d1d,69b49b1e75fc73e03aac8b80,Autoscaling Challenges on Kubernetes,"Let's start. We will go through this short agenda. First, we'll discuss why we should even care about autoscaling, why we should do it. Then we will briefly touch on how KEDA does autoscaling in Kubernetes. We will cover HTTP-based autoscaling, which is a little bit more complex, and then we will cover some of the challenges that we have seen through the years with autoscaling. Why should we do autoscaling? If we look at this diagram, on the left-hand side, you can see resources are defined statically. The yellow part represents the containers or applications that you have deployed in your Kubernetes cluster. The red part represents the number of requests coming to our application, or it could represent the actual need for those applications. On the left-hand side, we defined the resources technically. There is a static amount of containers, and for the majority of time, it's fine. But there is this huge spike that we are not able to cover with our static resources. On the right-hand side, this is the ideal situation. The number of containers or applications reflects the actual need for our application. This way we can autoscale our infrastructure as well.",2025-06-17,141.3365936279297
7,index,84a353fbf9bd295e3f0e1d1d,69b49b1e75fc73e03aac8b81,Autoscaling Challenges on Kubernetes,"What are the consequences of this? Every workload has a different size and resources. This also depends on the lifetime of the application. Under heavy load, you need more resources. If there is lower load, you need fewer resources. Especially if you are running your Kubernetes cluster in the cloud, on AWS, GCP, you name it, it might be very costly to overprovision. These are the two issues we can see if we don't specify autoscaling properly. The first is underprovisioning, which means we don't have enough resources to cover the need for our application, which causes outages, latency, and poor UX. On the other hand, if you do overprovisioning, you spend too much money on resources, which is expensive and wasteful. Let's try to tackle this problem by enabling autoscaling on your Kubernetes cluster. You should do it always on both the cluster level, which means you should scale out your Kubernetes nodes, and also on the application level. These two approaches should always be configured together. Why should we do autoscaling? Because it's hard to specify resources and put allocations statically just once. We should do it with elasticity. These are the benefits we have seen. For example, the usual cost reduction I can see when enabling autoscaling properly is around 30 to 40%, because you can put your applications into an ideal state or scale them to zero if there is no load, for example, during weekends, overnight, etc. On the other hand, if there is significant load coming to the application, you can scale it out and serve the application without any problems. Autoscaling has these two main benefits: cost reduction and performance improvement. Let's check the actual autoscaling problem. If you look at this diagram, there is a Kubernetes application. It's a very standard application. This application is consuming some data, some messages. In this case, it is consuming them from Kafka, but it could be anything, like RabbitMQ, any AWS service, whatever you need. This application is consuming messages from our Kafka topic. We just discussed autoscaling is great. Let's enable it on our Kubernetes cluster. The first approach is to use HPA, which is the built-in autoscaler in Kubernetes. Every Kubernetes distribution has it built-in. What HPA does is monitor resource utilization on the target application. Based on these metrics, it scales. For example, if CPU or memory consumption is more than 70%, it creates another replica of the application. It's very simple and straightforward, but there are many cases when this approach is not the best one. Ideally, we would like to scale the application not based on CPU or memory consumption of the target application, but based on the number of unprocessed messages in the Kafka topic, for example.",2025-06-17,139.77435302734375
8,index,84a353fbf9bd295e3f0e1d1d,69b49b1e75fc73e03aac8b86,Autoscaling Challenges on Kubernetes,"Another challenge with autoscaling Kubernetes is actually scaling out LLM models. AI is everywhere these days. If you are already running your Kubernetes workloads in your Kubernetes cluster, and if you would like to also run your LLM models, for example, for compliance reasons or because of the money or pricing, you don't want to use services like OpenAI or you would like to use your own model. If you are already running on Kubernetes, then the natural way is to host these models also on Kubernetes, do the training there of these models, and also the inference, basically the prompting. I would say that for that the proper autoscaling is even more critical because GPUs are very expensive compared to regular nodes. We should always think about how we scale out those applications properly. Especially for LLM inferencing, it's important to find a balance between throughput and GPU availability. What does it mean? If I'm a user writing a prompt to a model, I would like to get the response as soon as possible, but without taking all the GPUs. There are a lot of things that need to be taken into consideration when scaling our LLMs. I believe this is something more companies will do in the future because they will try to save costs but still use AI. Last but not least is predictive scaling. This all follows the same pattern. Cluster autoscaling is quite slow; adding a new node takes some time. It would be nice if we can tell it in advance, not just the node, but also for the application, if there is some load coming to our application, so we would like to start scaling out in advance. The idea behind this is that because KEDA gets all these metrics about the application, we can put it into some model and do some prediction and try to find patterns in the traffic. If we see this pattern, we might notify KEDA. We have seen this pattern, so it means that big load is coming to our application. This is something we would like to do in the future as well. There are some resources, and that's it. The takeaways from this are autoscaling brings a lot of benefits but also some challenges. Proper configuration is super important. HTTP scaling is very sensitive to real-time traffic and real-time metrics delivery. That's it. Thank you very much. Any questions? There's a question. The question was if the HTTP-based scaling also works with service meshes. Yes, it does. It also works for in-cluster traffic. You don't need to expose it through ingress, but you can just use service route-based routing and it works similarly. Any other questions? If not, thank you very much for your attendance, and if you have any questions, feel free to reach out.",2025-06-17,139.02633666992188
9,index,84a353fbf9bd295e3f0e1d1d,69b49b1e75fc73e03aac8b84,Autoscaling Challenges on Kubernetes,"The amount of unprocessed messages in Kafka or any other messaging solution doesn't correlate with CPU or memory consumption of our target application. For example, our target application could be utilizing CPU at 20 or 30%, but there could be a huge queue of unprocessed messages in Kafka. In this case, we would like to use metrics directly from Kafka to scale out the application. This is where KEDA comes into the picture. What we do is scrape metrics directly from the target service. It could be any service you name it. Based on these metrics, we directly scale the application. This also allows us to scale to zero. If we go back to HPA, HPA takes metrics directly from the application as a source for the metric, but once we scale the application down to zero, we lose the source of the metrics. We lose CPU or memory metrics. With this approach, we can easily scale the application to zero if there are no messages in Kafka. If there are some messages, we scale it out and consume those messages. That's the ideal solution. This is the autoscaling problem we are trying to solve. This is a very typical common use case, especially if you design your applications in an event-driven way where you have some event bus and a lot of microservices consuming the data. It could also be Prometheus metrics. You can expose some Prometheus metrics from your applications of specific metrics, not just CPU or memory, and use them as a source for autoscaling. This brings me to KEDA, which is an open source project. With KEDA, we try to make Kubernetes event-driven autoscaling as simple as possible. It allows you to scale any workload or schedule Kubernetes jobs based on events or custom metrics, not just CPU or memory. It also allows you to scale to zero. KEDA has built-in, I believe now maybe 70 different event sources, including Kafka, RabbitMQ, AWS services, etc. It's also very easy to extend with custom scalers. You can write your own scaler that will feed metrics to KEDA, and KEDA will handle the rest. I will quickly go through internals. I don't want to spend too much time on this. KEDA is built on top of Kubernetes. We try to reuse as many Kubernetes concepts as possible. There is an operator pattern that monitors ScaledObject or ScaledJob resources. These are the main resources where we define the scaling metadata, specifying what we would like to scale and how. KEDA observes the state of these resources. It creates metrics from the external source, for example, from Kafka, and then provides these metrics to HPA, the same HPA we discussed earlier. Instead of just using CPU or memory, we provide all the metrics that HPA can use. Also, with KEDA, we can scale to zero. For scaling from one to replica, we leverage HPA. For scaling from zero to one, we use KEDA.",2025-06-17,138.0743865966797
10,index,84a353fbf9bd295e3f0e1d1d,69b49b1e75fc73e03aac8b8d,Autoscaling Challenges on Kubernetes,"For example, here the condition is maybe too small, but the trigger there is, for example, container ready. We can say, okay, after the container is ready, we get this event from Kubernetes, and after some delay, maybe 30 seconds, let's specify new resource requests and limits. This is a simple feature but very powerful when you can resize your workloads without restarting the container. Because if we restart the container, we are again in the same situation where for the start, we need more resources than for the lifetime of the application. There are a few challenges with that. Sometimes when you try to resize your workload and you don't have enough space on your node, what could happen is your pod could be rescheduled to new nodes. So you should be careful about playing with this kind of stuff. But I believe this is very powerful, and there will be more stuff coming around this feature in Kubernetes. Then the typical question is, okay, I define my application autoscaling with KEDA. What should I do with the cluster autoscaling? As I mentioned at the very start, it's very important to configure both cluster-level and application-level autoscaling at the same time, especially when you are running in cloud. You are probably good and don't need autoscaling if you're running on-prem, but if you're in cloud, you want to configure both things properly. Why? Because application-level autoscaling, as we add more pods, makes pressure on the cluster autoscaler or Carpenter, which is also popular for scaling out Kubernetes. And, it'll tell them, okay, let's give me external node, because what happens under the hood is that as we try to create new pods in a Kubernetes cluster, we are trying to reserve the resources assigned to this pod. For example, I need an extra one gigabyte of memory and this amount of CPU, and cluster autoscaler does the thing that it monitors these resource requests over my workloads, and based on the resource need it gives me a new node. This is good, but also it's kind of bad because it's like a black box, this cluster autoscaler, because you cannot tell it, give me an extra node. What it does, it just does the magic under the hood, and based on the resource requests, it does the scaling. But we just described the benefit of KEDA, not relying just on the resources, but also on the external metrics. So it would be nice to also be able to scale with KEDA the node. So based on some metrics coming to our system, if we see high load is coming, we will need extra pods and extra nodes in the future. We have some experiments on that, using cluster API, where we can target EKS. Based on the traffic coming, we can in this specific new node group create new nodes based on the metrics. Also, this is useful, for example, if you are running GPUs on your cluster, and you would like to scale them to zero through the night because they haven't been used, you can use this approach. Based on some metrics, you can create new nodes or destroy the nodes based on the schedule.",2025-06-17,137.62908935546875
